label,mean,median,variance,max,min,count
unknown,,,,,,0
sentiment_analysis.audio ,0.7211961643628556,0.6057870001532137,0.20625870714876113,3.252710000029765,0.26349900010973215,146
stt-convert-wavfile ,135.06290127413212,100.84583600005135,10353.652148805762,522.1682489998639,31.516256999922916,62
request:01JTQMMBW5Z95YHYFN5DRWV8R2 cancelled,78223.0211590007,78223.0211590007,,78223.0211590007,78223.0211590007,1
stt google,887.9707584862681,729.974068999989,342702.63611599046,4498.68716500001,359.3679430000484,146
llm.embeddings openai/text-embedding-3-small,1544.0801277947312,1278.6890670000575,1293428.0417225861,6965.512828000123,323.4005379998125,190
embeddings.search ,743.7884039348029,656.2885880001122,144247.1664716196,2510.9743170002475,335.13312400016,92
llm.send:chat::E6W30 openai/gpt-4o,437.0038640005514,437.0038640005514,,437.0038640005514,437.0038640005514,1
llm.chat:chat ,1360.7112945869412,444.9028094995301,10205059.468653293,46004.16734700001,2.1761529999785125,230
avatar request,4135.348464163019,3290.6420685000485,24725621.31781107,48885.754325999966,1358.2423010000493,92
explain.filter,,,,USER MESSAGE is a rephrasing of one of the TOOL descriptions provided, especially matches with "Approach the checkpoint cautiously, your ID and press card in hand.".,The USER MESSAGE is a direct response to a question in the context, matching partially with 'My managing editor' from provided TOOLS.,0
explain.tools,,,,User's message 'next' matches with the description of the tool to proceed to the next question.,No tool matches are applicable for the user's current message, as it does not match a tool description and is a response to a quiz question.,0
explain.intent,,,,There was no task proposed by the assistant in the previous messages, and the user's response doesn't directly match any intent or signal acceptance of a task.,No TASKS defined or initiated by the assistant in the previous message.,0
sentiment_analysis.text ,52.49654805441471,0.0614539998350665,25503.153578551137,728.4140850007534,0.04268399998545647,92
llm.chat:sentiment ,320.57510320016496,462.07265100069344,73170.2453769012,727.6054549999535,42.08701400086284,15
tts cached,27.96555628381528,17.016723000095226,2251.589008159432,332.42396200000076,2.6475409995764494,74
llm.send:chat::MPZZH openai/gpt-4o,2177.3187109995633,2177.3187109995633,,2177.3187109995633,2177.3187109995633,1
request:01JTQMPR8N6YP164NYR4YGVWA1 cancelled,33549.879491999745,33549.879491999745,,33549.879491999745,33549.879491999745,1
llm.send:chat::63GF0 openai/gpt-4o,304.1326109999791,304.1326109999791,,304.1326109999791,304.1326109999791,1
request:01JTQMQS15VHYVJYZWGGYQ7DY0 cancelled,6571.675677999854,6571.675677999854,,6571.675677999854,6571.675677999854,1
request:01JTQMQZEKRV10AE9JSB5G0HWW processing,11.370428999885917,11.370428999885917,,11.370428999885917,11.370428999885917,1
request:01JTQMQZEKRV10AE9JSB5G0HWW ended,70.3073559999466,70.3073559999466,,70.3073559999466,70.3073559999466,1
llm.send:chat::F1SMN openai/gpt-4o,1413.8197490004823,1413.8197490004823,,1413.8197490004823,1413.8197490004823,1
